Klaster,"induksi,kuret",kuret,"od,partus spontan",partus spontan,perawatan konservatif,"sc (termasuk cito sc, sctp, pro sc, & kombinasi)",Total
K1,0 (0.00%),1 (2.00%),1 (2.00%),13 (26.00%),6 (12.00%),29 (58.00%),50 (100.00%)
K2,1 (1.47%),0 (0.00%),0 (0.00%),9 (13.24%),1 (1.47%),57 (83.82%),68 (100.00%)
K3,1 (2.13%),0 (0.00%),0 (0.00%),1 (2.13%),0 (0.00%),45 (95.74%),47 (100.00%)
K4,0 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),1 (1.89%),52 (98.11%),53 (100.00%)
K5,0 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),0 (0.00%),35 (100.00%),35 (100.00%)
Total,2 (0.79%),1 (0.40%),1 (0.40%),23 (9.09%),8 (3.16%),218 (86.17%),253 (100.00%)
